Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
#2665 - West Roxbury,2009216400,Retail Store,1213 VFW Parkway,123596,Retail Store,10733299,0.497100874,0.460181916,,,,,,,51
#2679 - South Bay, 0703501080,Retail Store,5 Allstate Road,130520,Retail Store,9085993,0.499979901,0.457055503,,,,,,,71
00602-prudential,401037400,Supermarket/Grocery Store,53 Huntington Ave,42918,Supermarket/Grocery Store,14993662.6,0.62884134,0.317120655,,,,,,,66
045-Holiday Inn Express - South Boston,703436000,Hotel,69 R. Boston Street,58051,Hotel,6826951.3,0.466405912,0.493514565,,,,,,,41
046-Courtyard - Boston,703436001,Hotel,63 R. Boston Street,99213,Hotel,6688001.1,0.575308092,0.375254125,,,,,,,78
"06630-Boston, MA (Prudential Center)",401037100,Retail Store,786 Boylston Street,110000,Retail Store,11782260.4,0.758576333,0.00038193,0.175855246,,,,,,17
0733-Brighton - N. Beacon St.,2202708000,Self-Storage Facility,235 N. Beacon Street,27441,Self-Storage Facility,131577,0.920867218,,,,,,,,
1 Milk,304637010,Office,322 328 Washington St,44464,"Office, Retail Store",3387295.9,0.056545587,0.938595267,,,,,,,85
1 Palace Rd-collegeUniversity,401836000,College/University,1 Palace Rd,110327,College/University,14740963.2,0.920867422,,,,,,,,
10 Buick Street,2100401000,Residence Hall/Dormitory,10 Buick Street,384971,Residence Hall/Dormitory,52982353.7,0.395322482,0.570706405,,,,,,,14
10 City Square,203627000,Office,10 City Square,44000,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",4658417.7,0.523718838,0.431276611,,,,,,,23
10 Coventry Street,901381010,College/University,10 Coventry Street,69739,College/University,2469891.3,0.445425452,0.516298025,,,,,,,
10 High St,304211000,Office,155 Federal St,116823,Office,Not Available,,,,,,,,,
10 PO Square,"0303879000, 0303880000,0303878000, 0303878010 ",Office,10 Post Office Square,438392,Office,32586786.7,0.519193217,0.436191133,,,,,,,80
10 Tremont Street,302854000,Office,10 Tremont Street,38000,Office,2099052.8,,,,,,,,,96
10/20 Channel Center,0602757030 0602757045,Office,10 Channel Center Street,261168,Office,30925692.5,0.920867412,,,,,,,,23
100 Arlington,500805000,Multifamily Housing,100 Arlington Street,203204,"Food Sales, Multifamily Housing",10490887.5,0.551694934,0.148645346,0.252251108,,,,,,45
100 Ashford Street,2100415000,Other - Stadium,100 Ashford Street,96292,Other - Stadium,10093352.2,0.391837652,0.574490693,,,,,,,
100 Bay State Road,504028000,Office,100 Bay State Road,123678,"Food Service, Office",17583759.3,0.51120661,0.444864051,,,,,,,
100 Clarendon Street Garage,401082001,Other,100 Clarendon Street,843168,"Bank Branch, Medical Office, Office, Other",15266431.1,0.879213097,0.045024092,0.000209708,,,,,,
100 East Newton Street (635 Albany) G Building,801295000,Medical Office,100 East Newton Street,89406,Medical Office,24973205.3,0.317297746,,0.655436016,,,,,,3
100 Federal St.,304410000,Office,100 Federal St.,1498161,"Data Center, Office, Other - Restaurant/Bar, Parking",110433369.8,0.49627792,,0.461075599,,,,,,75
100 Franklin Street,304666000,Office,100 Franklin Street,124055,"Bank Branch, Office",7516025.1,0.659237055,0.284112955,,,,,,,75
100 Guest Street,2201905030,Office,100 Guest Street ,296176,"Office, Other - Restaurant/Bar, Parking, Retail Store",32644854.9,0.499740416,0.457315563,,,,,,,59
100 High Street,304408000,Office,100 High Street,550326,"Data Center, Office, Parking",34141116.2,0.920867416,,,,,,,,
100 Holton St,2200966000,Office,100 Holton St,115577,Office,Not Available,,,,,,,,,
100 Northern Avenue,602671039,Office,100 Northern Avenue,572998,"Office, Parking, Restaurant",44834873,0.535086134,0.418932493,,,,,,,58
101 Arch Street,304597000,Office,101 Arch Street,473906,"Fast Food Restaurant, Food Service, Office, Parking, Restaurant",29241951,0.90888413,0.013013041,,,,,,,57
101 CHARLESTOWN,202920000,Multifamily Housing,55 Bunker Hill St.,800238,Multifamily Housing,99562927,0.219407568,0.761738156,,,,,,,15
101 Huntington Ave,401037101,Office,101 Huntington Ave,585345,"Office, Parking",45881815.7,0.435496659,0.042497758,0.484582196,,,,,,74
101 Merrimac Street,301675000,Office,101 Merrimac Street,159272,"Office, Parking",11127404.3,0.765029465,0.16922953,,,,,,,68
101 Seaport Boulevard,602643020,Office,101 Seaport Boulevard,620642,"Office, Parking",33374468.1,0.621383007,0.325219898,,,,,,,92
101 Summer Street,30457800,Office,101 Summer Street,48905,Office,3145530.5,0.688831896,0.251974953,,,,,,,64
101 Tremont,304717000,Office,101 Tremont Street,80344,Office,5168309.4,0.440719428,0.521408393,,,,,,,
1010 Massachusetts Ave,801023000,Office,1010 Massachusetts Ave,195000,Office,7760513.7,0.615997638,0.331068045,,,,,,,89
10-18 Buswell Street,2100201000,Multifamily Housing,10-18 Buswell Street,66456,Multifamily Housing,5906604.3,0.11198052,0.878396679,,,,,,,51
1019 Commonwealth Avenue,2100468000,Residence Hall/Dormitory,1019 Commonwealth Avenue,77750,Residence Hall/Dormitory,5475752.9,0.41401224,0.550410593,,,,,,,70
102-108 Columbia Rd,1400833000,Multifamily Housing,102-108 Columbia Rd,34821,Multifamily Housing,2736848.9,0.171262804,0.814020131,,,,,,,59
10-24 School Street,304718000,Office,10-24 School Street,134789,"Data Center, Office, Retail Store",8833155.4,0.499728354,2.26E-05,0.457306038,,,,,,85
103 CLAYTON STREET,1600579000,Office,103 CLAYTON STREET,40696,Office,2065452.6,0.473954538,0.485317359,,,,,,,75
104 LENOX,901447000,Multifamily Housing,136 Lenox St.,199545,Multifamily Housing,35308411.5,0.122581306,0.86688496,,,,,,,3
105 Magazine St,800487000,Other,105 Magazine St,5150,Other,Not Available,,,,,,,,,
10500002 - Boston,600006020,Distribution Center,100 Widett Circle,212584,Distribution Center,9355294.1,0.920867404,,,,,,,,80
105-129 Kingston Street,304421000,Office,2 24 Edinboro Street,75500,"Office, Retail Store",3799942.1,0.154825567,,0.831869833,,,,,,
106 CATHEDRAL,801209010,Multifamily Housing,1472 Washington St.,571440,Multifamily Housing,50281448.2,0.198248516,0.784715463,,,,,,,38
107 HEATH,1002333000,Multifamily Housing,30 Bickford Street,279963,Multifamily Housing,29234688.2,0.145320807,0.842191394,,,,,,,15
109 Brookline Ave. - Ste # 602030,2100071000,Office,109 BROOKLINE AVE,285556,"Office, Parking",44844086.7,0.869803362,0.055452123,,,,,,,25
1091 Boylston Street Condominium,504162000,Multifamily Housing,1091 Boylston,19161,Multifamily Housing,2885200.8,0.111262619,0.879176312,,,,,,,28
1098-Jamaica Plain,1102009000,Self-Storage Facility,3175 Washington Street,71057,Self-Storage Facility,2101363.4,0.626600084,0.319554438,,,,,,,
11 Beacon,302804000,Office,11 Beacon Street,146388,"Office, Other - Restaurant/Bar",10897797.7,0.334038714,0.637256452,,,,,,,82
11 Tetlow Street - Tetlow Realty Associates,401834000,Multifamily Housing,11 Tetlow Street,21779,Multifamily Housing,24087.4,,1,,,,,,,
110-112 Cummington Street,2100277000,College/University,110-112 Cummington Street,48901,College/University,62927.6,,1,,,,,,,
111 Cummington Street (664-666 Comm. Ave),2100282000,College/University,111 Cummington Street (664-666 Comm. Ave),93831,College/University,17895076.6,0.363451924,0.605315682,,,,,,,
111 Huntington Ave,401037500,Office,111 Huntington Ave,1034179,Office,83058462.1,0.554111693,0.002766726,0.39550529,,,,,,63
111 WHITTIER,902643000,Multifamily Housing,1158 Tremont St.,108472,Multifamily Housing,10283173.3,0.220383249,0.760678622,,,,,,,82
1126,703501030,Retail Store,14 Allstate Road,45261,Retail Store,2727412.5,0.676352778,0.265526392,,,,,,,55
114 ALICE TAYLOR,402043700,Multifamily Housing,260 Ruggles St.,389949,Multifamily Housing,33484080.6,0.238450455,0.741058863,,,,,,,24
114 Western Ave,2200268000,Office,114 Western Ave,70849,"Office, Other, Urgent Care/Clinic/Other Outpatient",Not Available,,,,,,,,,
1140 Boylston Street,401755000,College/University,1140 Boylston Street,66920,College/University,5942439.9,0.506272289,0.450222374,,,,,,,
1144-1160 Comm,2101579000,Multifamily Housing,1144-1160 Commonwealth ,49283,Multifamily Housing,17117147.1,0.096281455,0.895444831,,,,,,,
115 – West Roxbury,2005752010,Supermarket/Grocery Store,1800 Centre St,55929,"Parking, Supermarket/Grocery Store",18049787.2,0.56605122,0.385306482,,,,,,,58
115 Broad Street,304040000,Office,115 Broad Street,56025,Office,3246312.4,0.919420717,0.001571013,,,,,,,45
1157-1177 Comm Ave,2100772000 2100778000,Multifamily Housing,1157 Commonwealth Avenue,60000,Multifamily Housing,4971035.1,0.111802834,0.878589672,,,,,,,55
116 Huntington,401013010,Office,116 Huntington Ave,287141,"Office, Parking, Restaurant",18602997.6,0.92086742,,,,,,,,78
119,2201867000,Office,119 Braintree Street,140388,"Office, Parking",5230818.4,0.46184943,0.498462592,,,,,,,96
119 BROMLEY PARK,1001851000,Multifamily Housing,30 Bickford St.,588634,Multifamily Housing,54731421.1,0.131666974,0.857018534,,,,,,,66
12 Farnsworth,602665000,Office,12 Farnsworth Street,57108,"Office, Retail Store",8442373.5,0.541290918,0.412194485,,,,,,,63
120 Ashford Street,2100414000,Distribution Center,120 Ashford Street,65198,"Distribution Center, Office, Parking",8134038.5,0.277378302,0.698785837,,,,,,,8
120 Fulton St,303474000,Multifamily Housing,120 Fulton St,37522,Multifamily Housing,2377412.2,0.447462434,0.514085988,,,,,,,33
120 Herald Street,500515000,Other,120 Herald Street,115680,"Other, Parking",168508.1,0.920867542,,,,,,,,
1200 Commonwealth Ave,2101571000,Multifamily Housing,1200 Commonwealth Avenue,33824,Multifamily Housing,1794117.6,0.594637763,0.354263455,,,,,,,76
121 - Roche Bros.,304585010,Supermarket/Grocery Store,10 Summer St,37000,Supermarket/Grocery Store,7411951.9,0.827873114,0.100985545,,,,,,,35
123 ME MCCORMACK,702853000,Multifamily Housing,10 Kemp St.,859162,Multifamily Housing,130472644.9,0.151275646,0.835724836,,,,,,,1
1230 Washington St,306443000,Manufacturing/Industrial Plant,1234 Washington St,60990,Manufacturing/Industrial Plant,1751593.2,0.103582004,0.887516976,,,,,,,
1234 Soldiers Field Road,2200562002,Hotel,1234 Soldiers Field Road,58550,"Hotel, Parking",4225235.9,0.090498677,0.90172454,,,,,,,96
124 OLD COLONY,700538010,Multifamily Housing,265 East 9th St.,334068,Multifamily Housing,32843461.6,0.256214689,0.721768098,,,,,,,16
1249 Boylston Street,504205000,Office,1249 Boylston Street,37495,"Office, Retail Store",3956917.6,0.600611484,0.347776411,,,,,,,
125 High St.,304102000,Office,125 High Street,1511250,"Office, Parking",81766096.7,0.920867415,,,,,,,,78
125 Lincoln Street,304334000,Mixed Use Property,125 Lincoln Street,57813,"Office, Other, Parking, Supermarket/Grocery Store",5492515.1,0.455081567,0.505812046,,,,,,,67
125 Magazine St,800495010,Office,125 Magazine St,8100,Office,468597.5,0.327700413,0.64413916,,,,,,,68
125 Quincy St,1300741010,Multifamily Housing,125 Quincy St,4284,Multifamily Housing,335929.1,0.18093696,0.803514789,,,,,,,
125 Summer Street,304256000,Office,125 Summer Street,521903,"Data Center, Office, Parking",30993932.5,0.920867413,,,,,,,,72
1255 Boylston Street,504206000,Retail Store,1255 Boylston Street,32776,"Office, Retail Store",2473050.9,0.841657901,0.086016264,,,,,,,22
126 Brookline Ave,504328000,Retail Store,126 Brookline Ave,61406,"Office, Retail Store",15343537.5,0.38252599,0.58460254,,,,,,,1
126 Newbury St,501320000,Retail Store,126 Newbury St,49896,Retail Store,1695857.1,0.920867367,,,,,,,,90
