Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
(71031A) BOSTON,304540000,Retail Store,450 WASHINGTON STREET,389183,Retail Store,5771701.5,1,,,,,,,100,
0004-Roslindale,1807323050,Supermarket/Grocery Store,950 American Legion Highway,38160,Supermarket/Grocery Store,9071832.6,0.579682368,0.420317632,,,,,,43,
00602-prudential,401037400,Supermarket/Grocery Store,53 Huntington Ave,42918,Supermarket/Grocery Store,14970545.6,0.676437965,0.323562035,,,,,,66,
0089-Allston,2201870000,Supermarket/Grocery Store,60 Everett Street,73613,Supermarket/Grocery Store,16069556.7,0.561501681,0.438498319,,,,,,53,
0413-Hyde Park,1400641010,Supermarket/Grocery Store,1025 Truman Highway,38890,Supermarket/Grocery Store,8038633.4,0.548526519,0.451473481,,,,,,60,
045-HIESB,703436000,Hotel,69 R. Boston Street,58051,Hotel,7381013.9,0.512980175,0.487019812,,,,,,30,
046-CYMSB,703436001,Hotel,63 R. Boston Street,99213,Hotel,6216201.1,0.623853852,0.376146132,,,,,,83,
"06630-Boston, MA (Prudential Center)",401037100,Retail Store,786 Boylston Street,110000,Retail Store,11377606.7,0.807141655,0.000360357,0.192497988,,,,,20,
0733-Brighton - N. Beacon St.,2202708000,Self-Storage Facility,235 N. Beacon Street,27441,Self-Storage Facility,123507.6,1,,,,,,,,
07579-Hyde Park,1809288000,Supermarket/Grocery Store,1377 Hyde Park Avenue,53642,Supermarket/Grocery Store,16706012.1,0.542326442,0.457673558,,,,,,45,
07604-Dorchester Burger,1704050000,Supermarket/Grocery Store,4 River Street,44191,Supermarket/Grocery Store,14766647.8,0.621803142,0.378196865,,,,,,34,
1 Bulfinch Place,302624000,Office,1 Bulfinch Place,89216,"Fitness Center/Health Club/Gym, Office",6837004.8,0.83164859,0.16835141,,,,,,42,
1 Constitution Wharf,203594000,Office,1 Constitution Wharf,133682,Office,7075376.6,0.871724157,0.128275857,,,,,,74,
1 Guest,2201909010,Other - Education,1 Guest St,126300,Other - Education,Not Available,,,,,,,,,
1 Milk,304637010,Office,322 328 Washington St,44464,"Office, Retail Store",343706.3,0.638063079,0.361936921,,,,,,100,
1 Palace Rd-collegeUniversity,401844000,College/University,1 Palace Rd,110327,College/University,12795569.5,1,,,,,,,,
1 Winthrop Square,304618000,Office,1 Winthrop Square,130000,Office,7101434.3,0.585275513,0.414724487,,,,,,84,
10 Buick Street,2100401000,Residence Hall/Dormitory,10 Buick Street,384971,Residence Hall/Dormitory,51375961.6,0.412252698,0.587747302,,,,,,14,
10 City Square,203627000,Office,10 City Square,44000,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",4703569,0.524429428,0.475570593,,,,,,24,
10 Coventry Street,901381010,College/University,10 Coventry Street,69739,College/University,2762237.2,0.507971292,0.492028708,,,,,,,
10 Guest St,2201906010,Other - Education,10 Guest St,199600,Other - Education,Not Available,,,,,,,,,
10 High St,304211000,Office,155 Federal St,116823,Office,Not Available,,,,,,,,,
10 PO Square,"303878000, 303878010, 303879000, 303880000",Office,10 Post Office Square,451947,Office,29651033.8,0.630559937,0.369440067,,,,,,76,
10 Tremont Street,302854000,Office,10 Tremont Street,38000,Office,2104196,,,,1,,,,96,
